Date,Department,Revenue,Expense,Operating_Cost,Marketing_Expense,R_D_Investment,Payroll,Tax_Amount,Net_Profit,Cash_Flow,Assets_Value,Liabilities
2024-01-01,CORP,126780,98450,45230,12340,8900,28450,5670,22660,18920,1245000,567000
2024-01-02,CORP,129340,99670,45890,12340,8900,28780,5890,23780,19890,1247800,566500
2024-01-03,CORP,133120,101890,46780,12340,8900,29120,6120,25110,21230,1251200,566000
2024-01-04,CORP,136450,103230,47340,12340,8900,29450,6340,26880,22780,1255100,565400
2024-01-05,CORP,141230,105670,48120,14560,8900,29890,6780,28780,24560,1259800,564700
2024-01-06,CORP,119340,97890,44560,10120,8900,28120,4890,16560,13450,1262300,565100
2024-01-07,CORP,116230,96780,44120,10120,8900,27890,4670,14780,11890,1263900,565500
2024-01-08,CORP,134560,103890,47890,14560,8900,29340,6230,24440,20890,1267200,565000
2024-01-09,CORP,146780,108450,49560,18230,8900,29780,7120,31210,27340,1271800,564300
2024-01-10,CORP,179890,113670,52340,23450,8900,30120,8890,57330,51230,1279100,563100
2024-01-11,CORP,187230,116230,53450,23450,8900,30560,9340,61660,55780,1286900,562000
2024-01-12,CORP,172340,111890,51230,18230,8900,30230,8560,51890,46340,1294200,561200
2024-01-13,CORP,153890,107450,49120,14560,8900,29890,7340,39100,34560,1300100,560600
2024-01-14,CORP,139670,104890,47780,12340,8900,29560,6560,28220,24120,1305200,560200
2024-01-15,CORP,143450,107230,48450,12340,8900,29780,6780,29440,25340,1309800,559700
2024-01-16,CORP,149340,109670,49230,12340,8900,30120,7230,32440,28120,1315100,559100
2024-01-17,CORP,156230,111890,50120,12340,8900,30450,7890,36450,32230,1321400,558400
2024-01-18,CORP,163450,114230,51120,12340,8900,30780,8340,40880,36560,1328500,557600
2024-01-19,CORP,169890,116450,52010,14560,8900,31120,8670,44770,40230,1336200,556700
2024-01-20,CORP,136780,108670,48890,10120,8900,30340,6340,21770,18450,1341400,557100
2024-01-21,CORP,131890,107450,48230,10120,8900,30120,5890,18550,15340,1345100,557600
2024-01-22,CORP,160890,114560,51340,18230,8900,30560,7890,38440,34120,1351200,556900
2024-01-23,CORP,184560,119230,54120,28340,8900,31120,9120,56210,50890,1361300,555700
2024-01-24,CORP,197340,123450,55890,28340,8900,31670,10230,63660,58120,1373200,554200
2024-01-25,CORP,190120,121230,54560,23450,8900,31340,9560,59330,53890,1384600,552900
2024-01-26,CORP,177450,117890,52890,18230,8900,30890,8890,50670,45780,1394800,551800
2024-01-27,CORP,162340,115230,51450,14560,8900,30560,7890,39220,34890,1403500,551000
2024-01-28,CORP,150890,112340,50120,12340,8900,30230,7120,31430,27560,1411200,550400
2024-01-29,CORP,157890,114670,51230,12340,8900,30560,7890,35330,31120,1418900,549700
2024-01-30,CORP,166780,117120,52120,12340,8900,30890,8450,41210,36890,1427300,548900
2024-01-31,CORP,173450,119340,52890,12340,8900,31230,8890,45220,40560,1436200,548000
2024-02-01,CORP,178890,121450,53670,14560,8900,31560,9230,48210,43450,1445800,547000
2024-02-02,CORP,184560,123560,54450,14560,8900,31890,9670,51330,46560,1456100,545900
2024-02-03,CORP,147230,110890,49780,10120,8900,30450,6890,29450,25230,1463400,546300
2024-02-04,CORP,142340,109340,49120,10120,8900,30230,6560,26440,22560,1469800,546800
2024-02-05,CORP,171890,118230,52560,18230,8900,31120,8670,44990,40230,1479100,545900
2024-02-06,CORP,177560,120120,53340,18230,8900,31450,9010,48430,43670,1489200,544800
2024-02-07,CORP,164890,116780,51890,14560,8900,30890,8230,39880,35560,1497800,544200
2024-02-08,CORP,156340,113890,50670,12340,8900,30560,7560,35890,31670,1505600,543700
2024-02-09,CORP,163230,116120,51560,14560,8900,30890,8010,38100,34120,1514100,543000
2024-02-10,CORP,151670,112780,50230,10120,8900,30450,7230,31660,27890,1521900,542600
2024-02-11,CORP,148340,111450,49670,10120,8900,30230,6890,30000,26120,1528900,542200
2024-02-12,CORP,182560,120890,53890,23450,8900,31340,9010,52660,47560,1540200,541000
2024-02-13,CORP,193450,124560,55340,23450,8900,31890,9890,58900,53670,1552800,539600
2024-02-14,CORP,228340,131780,58890,33450,8900,32780,12340,83220,77560,1571100,537400
2024-02-15,CORP,206890,126780,56450,23450,8900,32120,10670,69440,63890,1587200,535600
2024-02-16,CORP,187340,122340,54780,18230,8900,31670,9340,55660,50340,1601500,534200
2024-02-17,CORP,171230,118890,52890,14560,8900,31340,8450,43890,39230,1614100,533100
2024-02-18,CORP,159670,115780,51450,12340,8900,31010,7670,36220,32120,1625200,532200
2024-02-19,CORP,164560,117340,52120,12340,8900,31230,8010,39210,34890,1635800,531300
2024-02-20,CORP,172890,119670,52890,12340,8900,31560,8560,44660,40120,1647200,530300
2024-02-21,CORP,178340,121450,53560,12340,8900,31890,9010,47880,43340,1659300,529200
2024-02-22,CORP,184230,123120,54230,14560,8900,32120,9450,51660,46890,1672100,528000
